,original_index,title,artist,date,week,comment,comment_index,total_comments_in_article,sentiment_label,sentiment_score
2814,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,g5xvtj84z8Đó là lý do từ rất rất lâu rồi tôi không xem bất kỳ một chương trình gameshow và phim Việt nào,11,92,NEGATIVE,0.8568695187568665
2815,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,Vô ViRất đồng ý với tác giả,12,92,POSITIVE,0.9978342652320862
2816,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"phamannha10Từ ngày bạn bè rủ đi xem phim Bố già, tôi không còn xem phim nào của Trấn Thành sau đó nữa. Tôi ko muốn bỏ tiền bạc và thời gian để nghe những câu chửi thề, xem những cái nhảm nhí! Âu cũng là mức dân trí còn thấp nên mới dễ dãi.",13,92,NEGATIVE,0.9277291893959045
2817,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"minh.tq3098Doanh thu chục trăm tỷ chỉ là con số làm lòe mắt thiện hạ khi hầu hết các suất chiếu cũng như giờ chiếu phim hay vào ngày Tết chỉ dành cho phim Việt, khán giả chỉ có lựa chọn là coi phim thôi chứ con số chẳng phản ảnh chính xác chất lượng phim. Kịch bản hằng năm chẳng có gì là đổi mới cả và thà bỏ tiền để xem phim trên app còn thấy đáng hơn là bỏ tiền để xem những bộ phim Việt chiếu rạp.",14,92,NEGATIVE,0.9994562268257141
2818,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"chauminh7393Thực sự phần nhiều dân trí Việt Nam chỉ có vậy thôi mà, đòi hỏi phim cao siêu làm gì. Trừ khi khán giả tự tẩy chay mấy phim này cho không còn ngóc đầu lên được lúc đó mới đến giai đoạn bứt phá từ các nhà làm phim.",15,92,POSITIVE,0.9943950176239014
2819,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"jonhuyhcm347100Tôi đã từng coi Bố Già và nhận xét là phim hay , bởi vì hay nên nhiều người sẽ mang tâm thế kì vọng cao như Bố già để đem lên bàn cân so sánh.
Mình hy vọng phim của Trấn Thành sẽ ko bước theo con đường của Marvel ( phần phim về người sắt , cap , thor đều có cốt truyện tốt có chiều sâu mỗi năm 1 phim , và đến phase 4 , 5 chất lượng dần đi xuống ) và Hy vọng Trấn Thành sẽ lắng nghe khán giả nhiều hơn để cho ra những tác phẩm ý nghĩa và dễ xem.",16,92,POSITIVE,0.8488109707832336
2820,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"Trương Thiên LanMình chưa bao giờ xem phim do Trấn Thành đạo diễn hoặc phim có sự góp mặt của Trấn Thành, do gu xem của mình khác và từ mấy chục năm về trước chỉ xem phim Mỹ, Tây Ban Nha, Ý là chủ đạo. Thỉnh thoảng có coi vài phim Việt ngắn trên Yotube xem có khác gì không thì nhận ra không có gì đặc biệt nên từ khoảng 2015 là mình đã dừng hoàn toàn việc xem phim Việt, từ phim ngắn đến phim dài, vì cơ bản mình nghĩ không có gì để thưởng thức.",17,92,NEGATIVE,0.9963700771331787
2821,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"ngocphamhn89Phim nào cũng dở nhưng người ta chỉ nhắm vào Trấn Thành, gọi tên Trấn Thành để chê bai chỉ trích) Các đạo diễn khác thì ước được doanh thu như Trấn Thành.",18,92,NEGATIVE,0.7574520707130432
2822,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,DongnamBạn thì vì nghề nghiệp nên bỏ tiền mua vé xem phim việt. Tôi thì chưa bao giờ . Ngay trên TV cũng không xem.,19,92,NEGATIVE,0.8856159448623657
2823,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,ngocminhtruong2015Đây là kiểu hiệu ứng đám đông thôi. Năm nào chả vậy.,20,92,NEGATIVE,0.6208038926124573
2824,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"ZendyNhững diễn viên hài dựa vào sự nổi tiếng để câu kéo khách, mà không hiểu về nghệ thuật, đó là minh chứng cho ngàn tỷ nhưng phim vẫn tệ so với việc học đào tạo có trường lớp",21,92,NEGATIVE,0.9500948786735535
2825,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"PTD""Bạn đã xem phim của Trấn Thành chưa ?"".
- ""Chưa."".
""Quê quá vậy, Mấy đứa khác đã xem hết rồi kìa"".
- ""Vậy hả. Phải xem liền kẻo chúng chọc mình quê"".

Vậy đó. Không cần biết phim hay hay dở, ""ai sao tui vậy"" là tâm lý chung của khán giả VN ta !",22,92,POSITIVE,0.9913697242736816
2826,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"nhimthanglong2023Hàng chất lượng kém vẫn có người dùng thì là người nghèo, nghệ thuật chất lượng thấp vẫn có người xem là trình độ dân trí thấp. Nên nói thẳng vào vấn đề.",23,92,NEGATIVE,0.9784365296363831
2827,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"n4sjz9z8j7Lần cuối cùng tôi xem phim Trấn Thành tại rạp là phim ""Bệnh viện ma"" 2016. Từ đó đến nay tôi không còn xem thêm tiếp một bộ phim Việt Nam tại rạp bao giờ nữa. Năm nay người yêu tôi đòi xem phim ""Nụ hôn bạc tỷ"" dù ẻm đã xem ""Bộ tứ báo thử"". Chốt tôi xem phim nước ngoài, đặc biệt phim Hàn kịch bản logic, diễn viên diễn có cảm xúc.",24,92,POSITIVE,0.9982613921165466
2828,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,quốc hùngthắng được doanh thu cũng là thắng rồi,25,92,POSITIVE,0.9909770488739014
2829,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,Vũ Anhphim của Trấn Thành vẫn hay vẫn tốt so với mặt bằng chung của phim Việt chưa nói đến là có phẩn nhỉnh hơn. Còn muốn có phim đặc biệt hơn thì nên đợi làn gió mới chứ đừng quá kì vọng vào 1 người đa tài. ),26,92,POSITIVE,0.9887688159942627
2830,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,huylu12dTết người ta cần giải trí chứ không ai muốn xem xong một bộ phim mà nặng trĩu trong lòng cả. Có phải ai cũng xem phim vì nghệ thuật đâu. Nghệ thuật mà không phục vụ quần chúng cũng vứt.,27,92,POSITIVE,0.9116181135177612
2831,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,Đăng HoàngBạn phân tích rất hay. Muốn lên tiếng thì sợ các fan và các seeding trong đội xử lý khung hoảng truyển thông của Trấn Thành. Quả thực rất buồn cho nền điện ảnh nước nhà khi dư luận quá dễ để bị điều hướng.,28,92,POSITIVE,0.9994115829467773
2832,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"Pham GiangTôi chưa được xem bất kỳ bộ phim nào mà tác giả nói đến, đọc xong bài của tác giả tôi thấy không cần phí thời gian để xem các phim đó nữa, cám ơn tác giả",29,92,POSITIVE,0.9994444251060486
2833,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"MonDo sự dễ dãi của khán giả thôi. Hơn nữa, sức mạnh của truyền thông thổi phồng, đem doanh thu ra đo đếm. Tôi cũng đi xem các phim đoạt giải quốc tế, với lượng khán giả ít ỏi và lớn tuổi. Dù những tác phẩm này đều được đánh giá cao từ giới chuyên môn, nhưng có lẽ khán giả không cần những tác phẩm chất lượng này. Tôi không bài xích hay phủ định thành công của những phim Việt theo đánh giá qua doanh thu. Nhưng ở khía cạnh nghệ thuật thì dần dần chúng ta sẽ đánh mất giá trị của nó.",30,92,NEGATIVE,0.9993077516555786
2834,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"Đặng Quỳnh GiangMình chẳng dám chê, nhưng xem phim VN thì thấy ngượng. Tình huống thiếu logic, máy móc, diễn viên diễn quá gượng và luôn lên gân. Nên không thể xem được.",31,92,NEGATIVE,0.9038280248641968
2835,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"Hùng ViệtCó những bộ phim đầu tư khủng,đạo diễn,diễn viên có tên tuổi của nước nhà.Khi đem ra rạp chiếu, không có người mua vé.
Xin hỏi những phim nghệ thuật chỉn chu đó vì sao không có khán giả?",32,92,POSITIVE,0.7213745713233948
2836,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"Hoang SaĐồng ý với tác giả! Khán giả quá dễ dãi và nhu cầu phim tết cao. Cùng với từ trước đến nay kịch bản phim Việt rất nhạ, thiếu chiều sâu đa phần là phim mì ăn liền. Từ lâu tôi rất ít khi xem phim Việt, thỉnh thoảng năm đi xem cùng gia đình 1 2 bộ phim thì tựu chung vẫn vậy!",33,92,NEGATIVE,0.9983804225921631
2837,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,Chien HuaTrấn Thành xứng danh bậc thầy về Đạo diễn,34,92,POSITIVE,0.9997046589851379
2838,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"christina62279Thật sự Nụ hôn bạc tỷ cũng dở ngang Bộ tứ báo thủ thôi, một số người tận dụng thời cơ đưa phim lên quá làm nhiều người lầm tưởng là phim hay lắm, chẳng qua chỉ là chiêu trò thôi. Phim Bộ tứ báo thủ chỉ bị đánh giá là phim tệ nhất của TT so với những bộ phim trước của TT chứ không phải là so với các phim khác.",35,92,NEGATIVE,0.9982303977012634
2839,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"minhphuong170291Kể cả không xem phim Việt thì cũng chưa chắc có phim nước ngoài hay để xem. Nên mình nghĩ cũng đừng gay gắt quá. Phim nước ngoài ra rạp nhiều. Nhưng bao nhiêu hay, bao nhiêu dở, bạn có để ý? Mọi sự cay nghiệt đều đến từ 1 thứ: lòng đố kỵ.",36,92,POSITIVE,0.8583366274833679
2840,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"tkeicysNăm trước tôi đi xem Nhà bà nữ, tôi thề không bao giờ đi xem phim ông TThanh này sản xuất hay đạo diễn nữa. Xem phim ồn ào chửi bới mà đau đầu kinh khủng. Đối với tôi xem phim là để thư giãn giải trí, nhẹ nhàng đầu óc. phim của ông TT lúc nào cũng kiểu đạo lý, và đặc sản là chửi bới ồn ào.",37,92,NEGATIVE,0.9884427189826965
2841,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"Dark LordCó 1 lần tôi đi xem phim rạp, nhưng cả rạp chỉ có 2-3 bộ phim và đọc tên phim cũng như xuất xứ, tôi đều không thích (vì chưa xem nên k biết hay k). Cuối cùng tôi đành chọn đại 1 phim vì cho rằng chắc nó đỡ dở nhất. Cũng như dịp Tết, toàn bộ các suất chiếu hầu như rơi vào tay phim của Trấn Thành, và chỉ có 1-2 phim còn lại k đủ hấp dẫn để lựa chọn, lúc này tỉ lệ chọn vào phim đc quảng bá rầm rộ sẽ cao hơn hẳn, vì k còn lựa chọn nào khác.",38,92,NEGATIVE,0.7093287110328674
2842,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"hdthinh2007Ngày nay thông tin dày đặc và liên tục làm cho nhiều người đã quá căng thẳng và mệt mỏi, nên nhiều người chỉ muốn có cái gì đó để giải trí, thư dãn chỉ đơn giản như vậy, và Trấn Thành đang làm tốt điều này!",39,92,POSITIVE,0.9994059801101685
2843,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"thanh77lctThế mới hiểu vì sao dân Việt thích ăn ""Lẫu""....",40,92,NEGATIVE,0.5417764186859131
2844,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,DongnamThị trường vẫn tiêu thụ thì nhà sản xuất vẫn làm thôi. Còn thị hiếu của khán giả Việt thì khỏi cần bàn.,41,92,NEUTRAL,0.976881206035614
2845,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"namngoc876nói chung xem phim trấn thành thì không nên kì vọng cao, chỉ dừng ở xem cho vui, xem để biết, xem để đốt thời gian. Mùng 4 tết tôi có đi xem, trong tâm thế là không còn thứ gì vui hơn để đi chơi vào ngày tết.",42,92,NEUTRAL,0.8618279099464417
2846,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,nhatkhaiminhCó khác gì thời làm phim của Phước Sang đâu? Suốt mấy mươi năm nay và giờ vẫn vậy. Không biết bao giờ điện ảnh Việt Nam mới đi lên. Nhưng khác ở chỗ là doanh thu vẫn cao hơn những bộ phim điện ảnh chất lượng cao. Buồn,43,92,NEGATIVE,0.9988011121749878
2847,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,khánh trìnhtôi ấn tượng với phim TIỀN CHÙA (2013) của Đạo diễn Khương Ngọc. Kể từ hôm đó tôi ko còn xem 1 phim VN nào ở rạp nữa,44,92,POSITIVE,0.999251663684845
2848,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,MU vô đốiNhìn sang Natra 2 oanh tạc phòng vé Trung Quốc chỉ biết ước khán giả Việt Nam cũng được xem những bọ phim chất lượng như nước bạn dịp Tết,45,92,POSITIVE,0.5799293518066406
2849,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"dulieuthietkeMỗi người một sở thích, và tôi không xem film tết kiểu này. Tôi thích lên chùa đảnh lễ các Sư, thực hành các Thiện Pháp và nghe Thuyết Pháp đầu năm.",46,92,NEGATIVE,0.9236388206481934
2850,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,trươngChưa bao giờ thấy trên thế giới mà phim hài coi giải trí mà lại bị soi như ở việt nam,47,92,POSITIVE,0.9704266786575317
2851,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"Hoa Le""Thực tế này có thể thay đổi hay không phụ thuộc trước hết vào người tiêu dùng.""

Người tiêu dùng dù kén ăn cách mấy mà đói quá thì cũng phải ăn mì ăn liền!",48,92,POSITIVE,0.977412223815918
2852,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,Le HoangBạn cho tôi lời khuyên nên xem film của ai vào thời điểm này.,49,92,POSITIVE,0.9985252022743225
2853,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,limePhim ảnh không chịu đầu tư nội dung. Cứ nhăm nhe dựa vào cá nhân sao đang nổi để thu hút khán giả. Phim nhí nhố như tính cách vậy!,50,92,NEGATIVE,0.9993652701377869
2854,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"lfskcm2018Dân trí thấp, đào tạo thẩm mỹ là con số không, thì chất lượng phim chỉ vậy thôi, để phù hợp trình độ khán giả.kkkkkkkk",51,92,NEGATIVE,0.9984667301177979
2855,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"Đức Dũng. HYTôi nghĩ thành công của Trấn Thành là do gặp thời nữa, thời mà trình độ cảm thụ nghệ thuật của người Việt đa số còn thấp, dân trí chưa thể như các nước phát triển khác, học sinh sinh viên, giới trẻ đi xem là nhiều thì chỉ thích cái nhảm cái vui của phim chứ những người trình độ sâu sắc hơn về nghệ thuật và cuộc sống họ sẽ biết phân tích như tác giả của bài báo này vậy.",52,92,POSITIVE,0.5111503601074219
2856,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"kafka22k1Doanh thu phim Việt Nam tăng phản ánh một điều là mức sống người dân tăng và thói quen đi xem phim đã hình thành chứ không phản ánh chất lượng phim.

Tôi vẫn mong chờ các nhà làm phim, đạo diễn miền bắc cùng tham gia vào cuộc đua làm phim này. Các phim miền bắc ban đầu có thể có chút chênh vênh về thị hiếu khán giả, nhưng về lâu dài chất lượng nghệ thuật và con mắt nhìn của người miền bắc sẽ cho thêm những gia vị mới, thay vì thị hiếu quá tập trung vào ""thư giãn, hài, giải trí"" như hiện tại.",53,92,NEUTRAL,0.9786856174468994
2857,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,namphambusinessPhim Vietnam mà làm chiếu Netflix còn đỉnh gấp vạn lần phim VN chiếu rạp.,54,92,POSITIVE,0.9981383085250854
2858,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"Độc giả Vũ Trung ẩn danh mạnh dạn có ý kiếnNick M ơi, tôi đi ăn phở không chấp nhận quán phở làm ẩu kia nhé kakaka tôi nhịn ăn phở cho đến khi quán phở uy tín và làm ăn cẩn thận bán trở lại để đi ăn hahaha",55,92,POSITIVE,0.9993999004364014
2859,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,Quoc HungVậy tiêu chí để đánh giá một bộ phim hay và thành công là gì? Và nền điện ảnh Việt cần làm gì để vươn tầm thế giới?,56,92,POSITIVE,0.997875452041626
2860,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,Ha NguyenVẫn là hay nhất thời bây giờ rồi.,57,92,POSITIVE,0.9997522234916687
2861,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"Tuan Bui AnhVấn đề không phải chỉ là cung cầu. Khi bạn là chủ của một quán phở ngon bổ rẻ nhất khu phố, dù mặn, bạn vẫn luôn là chọn lựa tốt nhất. Đặc biệt, đã bao tiệm phở khác đóng cửa vì không thể giữ được bảng hiệu của mình. Trong đó có thể kể, phở Tương Lai, phở Toàn Thực Vật, phở Không Tí Bột Nêm.... Một ngày nào đó, khi nền tảng đã quá vững chãi, việc bạn cho ra một thương hiệu phở mới, giáo dục khách hàng của chính mình, là điều hoàn toàn trong tầm tay.",58,92,POSITIVE,0.999657392501831
2862,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"krishmitra83Xem Netflix sướng hơn : gặp xem không hay, chọn phim khác. Nhưng đạo diễn Việt Nam cố lên",59,92,POSITIVE,0.9920382499694824
2863,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"LuxuryTác giả đúng. Bố già khi mới ra, lạ nên được đâu tư kỹ lưỡng hơn còn có chút để xem, phim này đúng tệ, nhưng có lẽ tình hình chung. Giới trẻ giờ cần cười, nhưng cười nhảm thiếu ý nghĩa.",60,92,POSITIVE,0.7532405257225037
2864,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,maittmkt303rất xác đáng!,61,92,POSITIVE,0.9991188645362854
2865,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"LTMBài viết quá chuẩn, quá công tâm và thực tế! Phim Dở mà vẫn Doanh thu kỷ lục- là do Khán giả quá Dễ dãi và ""dư giả""(dư nên khi biết Sản phẩm rất Dở mà vẫn bỏ tiền ra Dùng ). Tôi thay vì đi xem Phim do Người Diễn, thì xem Phim Hoạt Hình cho dễ chịu vì nếu có Dở thì nó là do những Người Vẽ lên những ""Nhân vật"" đó Dở- chứ ko phải nó vốn dở như Người thật Diễn",62,92,NEGATIVE,0.9009659290313721
2866,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,kennythai05Ko xem sao biết dở?  Cũng vì tâm lý này mà dù phim dở nhưng doanh thu vẫn cao.,63,92,NEUTRAL,0.9925798773765564
2867,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"Chu NguyenVợ tôi thì chẳng mê mấy phim Mỹ Châu Âu vì kỹ xảo hành động nhiều quá, coi mấy phim tâm lý kiểu như Oppenhiemer thì kêu khó hiểu, coi stress thêm, không dám coi phim ma nước ngoài vì sợ. Tết đến xuân về chỉ thích đi coi mấy phim Việt Nam dễ hiểu, hài hước như này thôi. Mà vợ đi thì mình cũng đi theo chứ biết làm gì. Bác trên nói đúng nhưng mà theo ý bác thôi, các nhà làm phim họ có khảo sát thị hiếu hết cả rồi, phim họ làm ra để đáp ứng nhu cầu công chúng cả thôi.",64,92,POSITIVE,0.9930016398429871
2868,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,Quang Tùngdoanh thu cao chẳng qua Chọn chiếu vào dịp Tết - là dịp dân được nghỉ dài và sẵn sàng tiêu tiền. và Tết loanh quanh có vài phim đó. Chứ chất lượng thì ...ối rồi ôi,65,92,NEGATIVE,0.9873868823051453
2869,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,ngominhnhat131122Thử mà vẫn lụm tiền tỉ mới là đẳng cấp!,66,92,POSITIVE,0.9961264729499817
2870,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"PHQTôi đã tính không đọc bài này, nhưng có một thực tế người thành phố ( vì rạp chiếu phim không có ở nông thôn!?) Cũng không biết...đi đâu nếu không vào rạp ngày tết. Khu vui chơi ; công viên; hay hàng quán siêu thị thì hàng ngày rồi. Đi du lịch thì nhà phải có điều kiện, chính vì vậy nếu có quê ( Đủ đk để mà về) hoặc có tiền nhiều để du lịch thì chắc chỉ còn vào rạp để giải trí ngày tết ( Thăm hỏi nhau thì sợ xông nhà...lì xì qua lại và không uống thì cũng chẳng vui )",67,92,NEGATIVE,0.8812101483345032
2871,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,lethanh.usptTT dẫn chương trình thì tôi rất thích. TT làm phim và diễn xuất thì tôi không bao giờ dám xem. Vì tôi biết nó không phải gu của mình. Nhưng vợ con tôi và nhiều lớp trẻ nó vẫn xem và khen nữa. Tôi chỉ biết thở dài vì cái gu mình sao chẳng giống ai.,68,92,POSITIVE,0.9982628226280212
2872,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"Quân NgôKhán giả sẽ mãi dễ vì tre già thì măng mọc, lớp khán giả cũ không còn dễ dãi nữa thì sẽ có lớp mới dễ dãi hơn bù lấp vào thôi.",69,92,POSITIVE,0.9979133009910583
